|Cod a homo|CUPS  |
|772504-1  |772504|
|772504-1P |772504|
|772910-1  |772910|
|772910-11 |772910|
|774910P   |774910|
|775101P   |775101|
|775101P1  |775101|
|775102 P4 |775102|
|775102 P5 |775102|
|775102..  |775102|
|775102P   |775102|
|775102P1  |775102|
|775102P2  |775102|
|775102P3  |775102|
|775102P4  |775102|
|775102P5  |775102|
|779932P   |779932|
|781500 P  |783306|
|783500 P  |783001|
|791901-1  |791901|
|791901P   |791901|
|802601P   |802601|
|802601P1  |802601|
|802601P2  |802601|
|807500 P  |814102|
|810804 P  |810803|
|810804P   |810803|
|815101..  |815101|
|815101P   |815101|
|815101P1  |815101|
|815101P2  |815101|
|815302P   |815302|
|815403P   |815403|
|818000P   |818000|
|818400P   |818400|
|819900 P  |878811|
|82302     |82302 |
|824201P   |824201|
|839600P   |839600|
|839600P1  |839600|
|839600P2  |839600|
|839901    |839901|
|842401-1  |842401|
|842401P   |842401|
|842700-1  |842700|
|842700P   |842700|
|849501-1  |849501|
|849501-11 |849501|
|849501-12 |849501|
|849501.   |849501|
|849501..  |849501|
|849501P   |849501|
|849501P1  |849501|
|849501P2  |849501|
|849502 P  |373402|
|851101P   |851101|
|851101P1  |851101|
|851101P12 |851101|
|851302 P1 |851302|
|851302.   |851302|
|851302P1  |851302|
|853102    |853102|
|853300-1  |853300|
|853900 P  |853102|
|854100-1  |854100|
|855100    |855001|
|857000 P2 |855301|
|857200 P1 |857200|
|857200 P2 |857200|
|857200 P3 |857200|
|857200 P4 |857200|
|857200-1  |857200|
|857200-12 |857200|
|857200-13 |857200|
|857200-14 |857200|
|857200P1  |857200|
|857200P2  |857200|
|857200P3  |857200|
|857200P4  |857200|
|859400 12P|859400|
|859400 P  |859400|
|859400-1  |859400|
|859400-1 P|859400|
|859400-12 |859400|
|859400-12P|859400|
|859400-13 |859400|
|859400-1P |859400|
|859400P   |859400|
|859500-1  |859500|
|860101-2  |860101|
|860201-3  |860201|
|860201-3. |860201|
|860201-31 |860201|
|860201-31.|860201|
|86103     |86103 |
|861101-2  |861101|
|861101-2A |861101|
|861102-2  |861102|
|861411-3  |861411|
|861800 P  |861801|
|861800P   |697100|
|861801.   |861801|
|861805.   |861805|
|862103-1 P|862103|
|862103-1P |862103|
|862312-1  |862312|
|862312-11 |862312|
|862505.   |862505|
|862505..  |867104|
|862701-2  |862701|
|863101-2  |863101|
|863101P   |863101|
|863102-2  |863102|
|863105P   |863105|
|863602-2  |863602|
|864101-2  |864101|
|864105-2  |864105|
|864106-2  |864106|
|864201-1  |864201|
|864201-2  |864201|
|864204-2  |864204|
|864205-2  |864205|
|864300-71 |864300|
|864300P1  |864300|
|864300P2  |864300|
|864300P3  |864300|
|866101-2  |866101|
|867001-2  |867001|
|867002-2  |867002|
|867003-1  |867003|
|867104 P  |867104|
|867104 P1 |867104|
|867104 P2 |867104|
|867104P   |867104|
|867104P1  |867104|
|867104P2  |867104|
|867106 P1 |867106|
|867106 P2 |867106|
|867106 P3 |867106|
|867106P   |867106|
|867200 P  |867106|
|867201-1  |867201|
|867201-2  |867201|
|867201P   |867201|
|867202-2  |867202|
|868204-1  |868204|
|868507-1  |868507|
|869400-2  |869400|
|871010-3  |871010|
|871121-3  |871121|
|873002-3  |873002|
|873211-3  |873210|
|873302-3  |873302|
|873302-31 |873302|
|873444-3  |873444|
|873444-31 |873444|
|873444-32 |873444|
|874910-7  |874910|
|874910.   |874910|
|874910P   |874910|
|875442P   |875442|
|876121-2  |876121|
|876241-2  |876241|
|876801-3  |876801|
|877121-3  |877121|
|877500    |883434|
|877601 P  |877601|
|877601-2  |877601|
|877601P   |877601|
|877602 P  |877601|
|877602P   |877601|
|878811-3  |878811|
|878922P   |878922|
|878933-3  |878933|
|878941-3  |878941|
|879000-2  |879990|
|879011    |879990|
|879064    |879990|
|879092    |879990|
|879095    |879990|
|879111-3  |879111|
|879111-31 |879111|
|879113-3  |879113|
|879114-3  |879114|
|879114-31 |879114|
|879121-3  |879121|
|879121-31 |879121|
|879121-32 |879121|
|879121-33 |879121|
|879121-34 |879121|
|879121-35 |879121|
|879161-3  |879161|
|879162-3  |879162|
|879162-31 |879162|
|879164    |879990|
|879205-3  |879205|
|879205-31 |879205|
|879300    |879990|
|879301-3  |879301|
|879392    |879990|
|879410-3  |879410|
|879411    |879990|
|879420-3  |879420|
|879420-31 |879420|
|879420-32 |879420|
|879420-33 |879420|
|879420-34 |879420|
|879420-36 |879420|
|879420-37 |879420|
|879421    |879990|
|879422    |879990|
|879460-3  |879460|
|879510-3  |879510|
|879510-31 |879510|
|879510-32 |879510|
|879520-3  |879520|
|879520-31 |879520|
|879520-32 |879520|
|879910-3  |879910|
|879910-31 |879910|
|879920-3  |879920|
|879920-31 |879920|
|879920-32 |879920|
|879990-2  |879990|
|879990-3  |879990|
|879990-31 |879990|
|879990-32 |879990|
|879992    |951601|
|879993    |951601|
|879995    |879990|
|879998    |879990|
|879999    |879990|
|880004    |879920|
|880005    |879990|
|881220    |881390|
|881220-3  |881220|
|881234-1  |881234|
|881234-3  |881234|
|881234-31 |881234|
|881235-31 |881235|
|881235-32 |881235|
|881235-33 |881235|
|881237-31 |881237|
|881240-3  |881240|
|881291    |881209|
|881302-32 |881302|
|881302-33 |881302|
|881302-34 |881302|
|881313-3  |881313|
|881313-32 |881313|
|881313-33 |881313|
|881360-3  |881360|
|881401-3  |881401|
|881402-3  |881402|
|881430    |892901|
|881431-3  |881431|
|881431-31 |881431|
|881432-3  |881432|
|881434-3  |881434|
|881434-31 |881434|
|881434-32 |881434|
|881434-39 |881434|
|881434-3T |881434|
|882101-31 |882101|
|882271-3  |882271|
|882281-3  |882281|
|882295    |882296|
|882295-31 |882295|
|882312-3  |882312|
|882313    |882311|
|882313-3  |882313|
|882333    |882311|
|882600    |882601|
|882600-3  |882600|
|882610    |882611|
|882610-3  |882610|
|883000    |883101|
|883100    |883101|
|883101-3  |883101|
|883101-32 |883101|
|883101-33 |883101|
|883101-34 |883101|
|883101-35 |883101|
|883101-36 |883101|
|883101-37 |883101|
|883101-38 |883101|
|883101-39 |883101|
|883102-3  |883102|
|883108-3  |883108|
|883324    |883323|
|883325    |883323|
|883341-3  |883341|
|883410-3  |883410|
|883410-31 |883410|
|883410-32 |883410|
|883410-33 |883410|
|883410-34 |883410|
|883410-35 |883410|
|883450-32 |883450|
|883450-34 |883450|
|883511-3  |883511|
|883540-3  |883540|
|883550-3  |883550|
|883590-3  |883590|
|883701-31 |883701|
|883701-32 |883701|
|890105    |890105|
|890108    |890108|
|890112    |890112|
|890113    |890113|
|890201-8  |890201|
|890201-81 |890201|
|890201-82 |890201|
|890202-0  |890202|
|890202-7  |890202|
|890202-71 |890202|
|890202-72 |890202|
|890202-73 |890202|
|890202-74 |890202|
|890202-8  |890202|
|890202-800|890202|
|890202-81 |890202|
|890202-82 |890202|
|890202-83 |890202|
|890202-84 |890202|
|890202-85 |890202|
